"Station","Latitude","Longitude","Datetime","Notes","SampleCode","Chlorophyll","Pheophytin","DissAmmonia_Sign","DissAmmonia","DissCalcium","DissChloride","DissNitrateNitrite_Sign","DissNitrateNitrite","DOC","TOC","DON","DissOrthophos_Sign","DissOrthophos","TotPhos","DissSilica","TDS","TSS","VSS","TKN","Year","WY","Month","Flag_ChlaNuts"
"LIS",38.474816,-121.588584,2013-08-06 12:04:00,NA,"EA0813B1326",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"8",NA
"LIS",38.474816,-121.588584,2013-08-06 12:04:00,NA,"EA0813B1326",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"=",0.13,NA,NA,NA,NA,NA,NA,2013,2013,"8",NA
"LIS",38.474816,-121.588584,2013-08-06 12:04:00,NA,"EA0813B1326",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.9,NA,NA,NA,NA,2013,2013,"8",NA
"LIS",38.474816,-121.588584,2013-08-06 12:04:00,NA,"EA0813B1326",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"8","1"
"LIS",38.474816,-121.588584,2013-08-06 12:04:00,NA,"EA0813B1326",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"8",NA
"LIS",38.474816,-121.588584,2013-08-06 12:04:00,NA,"EA0813B1326",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"8",NA
"LIS",38.474816,-121.588584,2013-08-06 12:04:00,NA,"EA0813B1326",NA,4.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"8",NA
"LIS",38.474816,-121.588584,2013-08-06 12:04:00,NA,"EA0813B1326",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,NA,NA,NA,2013,2013,"8",NA
"LIS",38.474816,-121.588584,2013-08-06 12:04:00,NA,"EA0813B1326",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,2013,2013,"8",NA
"LIS",38.474816,-121.588584,2013-08-06 12:04:00,NA,"EA0813B1326",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"8",NA
"LIS",38.474816,-121.588584,2013-08-06 12:04:00,NA,"EA0813B1326",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,2013,2013,"8",NA
"LIS",38.474816,-121.588584,2013-08-06 12:04:00,"Lesser volume used due to great amount of suspended solids in sample.","EA0813B1326",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,NA,NA,2013,2013,"8",NA
"LIS",38.474816,-121.588584,2013-08-06 12:04:00,"Lesser volume used due to great amount of suspended solids in sample.","EA0813B1326",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,2013,2013,"8",NA
"LIS",38.474816,-121.588584,2013-08-15 13:55:00,NA,"EA0813B1511",22.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"8","1"
"LIS",38.474816,-121.588584,2013-08-15 13:55:00,NA,"EA0813B1511",NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"8",NA
"LIS",38.474816,-121.588584,2013-08-15 13:55:00,NA,"EA0813B1511",NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"8",NA
"LIS",38.474816,-121.588584,2013-08-15 13:55:00,NA,"EA0813B1511",NA,NA,NA,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"8",NA
"LIS",38.474816,-121.588584,2013-08-15 13:55:00,NA,"EA0813B1511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"8",NA
"LIS",38.474816,-121.588584,2013-08-15 13:55:00,NA,"EA0813B1511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.1,NA,NA,NA,NA,2013,2013,"8",NA
"LIS",38.474816,-121.588584,2013-08-15 13:55:00,NA,"EA0813B1511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"8",NA
"LIS",38.474816,-121.588584,2013-08-15 13:55:00,NA,"EA0813B1511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"8",NA
"LIS",38.474816,-121.588584,2013-08-15 13:55:00,NA,"EA0813B1511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"8",NA
"LIS",38.474816,-121.588584,2013-08-15 13:55:00,NA,"EA0813B1511",NA,3.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"8",NA
"LIS",38.474816,-121.588584,2013-08-15 13:55:00,NA,"EA0813B1511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199,NA,NA,NA,2013,2013,"8",NA
"LIS",38.474816,-121.588584,2013-08-15 13:55:00,NA,"EA0813B1511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,2013,2013,"8",NA
"LIS",38.474816,-121.588584,2013-08-15 13:55:00,NA,"EA0813B1511",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"8",NA
"LIS",38.474816,-121.588584,2013-08-15 13:55:00,NA,"EA0813B1511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,NA,NA,NA,NA,NA,2013,2013,"8",NA
